Название,Стоимость,Наличие
Вспышка Sony HVL-F7S,400 руб,Нет в наличии
Лампа вспышки для фотокамер Sony,500 руб,В наличии
Передняя панель Sony NEX 3,500 руб,В наличии
"Механизм разблокировки объектива Sony A57, A58",500 руб,В наличии
Шестерня с регулятором диоптрии Sony Alpha SLT-A57,650 руб,В наличии
Разъем типа горячий башмак для фотоаппаратов Sony Alpha,750 руб,В наличии
Шасси байонета для Sony nex 3,750 руб,В наличии
Шлейф дисплея для Sony Alpha ILCE-7M2,800 руб,В наличии
"Шлейф дисплея для Sony Alpha A7, A7R, A7S",900 руб,В наличии
"Шестерни механизма взвода затвора Sony A57, A58",950 руб,В наличии
Крышка аккумулятора с фиксатором батареи для Sony nex 5n,1 000 руб,Нет в наличии
Передняя панель для Sony NEX 5N,1 000 руб,В наличии
"Головка вспышки для Sony Alpha a57, Sony Alpha a65",1 100 руб,Нет в наличии
Боковая панель Sony A77,1 100 руб,В наличии
"Шлейф дисплея для Sony Alpha 7, A7R, A7S",1 200 руб,В наличии
Верхняя панель для Sony NEX 5N,1 300 руб,В наличии
Шлейф дисплея для Sony NEX 5,1 300 руб,Нет в наличии
Пьезоэлемент стабилизатора изображения Sony,1 400 руб,В наличии
Диск управления с кнопками и шлейфом для Sony NEX 5N,1 500 руб,Нет в наличии
Шторка затвора фотоаппаратов Sony серий NEX и Alpha,1 500 руб,В наличии
Диск установки режимов съемки для Sony A57,1 500 руб,В наличии
Передняя панель для Sony SLT-A58,1 500 руб,В наличии
Шлейф дисплея для Sony A7R Mark III,1 500 руб,В наличии
Плата с разъемом карты памяти для Sony NEX 3,1 500 руб,В наличии
Аккумуляторный отсек с крышкой для Sony A77,1 500 руб,Нет в наличии
Шлейф верхней панели с кнопками управления для Sony NEX 5N,1 700 руб,В наличии
Контактная группа объектива фотокамер Sony NEX,1 750 руб,Нет в наличии
Кнопки управления задней панели Sony a580,1 750 руб,В наличии
Системная плата Sony NEX-3,1 800 руб,В наличии
Шасси в сборе для Sony NEX 3,1 850 руб,В наличии
Матрица для Sony NEX 3,1 900 руб,В наличии
Задняя панель для Sony a58,1 950 руб,Нет в наличии
Плата с разъемом карты памяти для Sony NEX 5N,2 100 руб,В наличии
Байонет для Sony NEX 5N,2 100 руб,В наличии
Видоискатель для Sony a57 в сборе,2 500 руб,В наличии
Шторка затвора для Sony Alpha A7,2 500 руб,Нет в наличии
Видоискатель для Sony SLT-A58,2 500 руб,В наличии
Головка вспышки для Sony Alpha a58,2 500 руб,В наличии
Дисплей в сборе для Sony NEX-3,2 500 руб,В наличии
Затвор для фотоаппаратов Sony Alpha SLT A33 - A580,2 700 руб,В наличии
Задняя панель для Sony a57,2 750 руб,Нет в наличии
Плата дисплея для Sony a57,2 950 руб,Нет в наличии
Блок зеркала в сборе для Sony a57,2 950 руб,В наличии
Затвор для фотоаппаратов Sony NEX-3 - NEX-7,3 200 руб,В наличии
Верхняя панель для Sony a57,3 250 руб,Нет в наличии
Блок зеркала в сборе для Sony a58,3 500 руб,Нет в наличии
Блок зеркала в сборе для Sony a77,3 500 руб,Нет в наличии
Блок затвора в сборе для фотокамер Sony NEX 3; 5; 6; 7,3 700 руб,Нет в наличии
Шлейф с кнопкой спуска затвора и диском управления для Sony A 7sM2; A7RM2,3 900 руб,Нет в наличии
Задняя панель для Sony a77,4 500 руб,В наличии
Верхняя панель для Sony SLT-A77,4 900 руб,Нет в наличии
Дисплей в сборе для Sony A77,4 950 руб,В наличии
"Дисплей для Sony Alpha 7, A7R, A7S",5 000 руб,В наличии
Матрица со стабилизатором для Sony a57,6 100 руб,В наличии
Системная плата для Sony Alpha a65,7 200 руб,В наличии
Системная плата для Sony Alpha a57,7 850 руб,В наличии
Затвор для фотоаппаратов Sony A7,14 100 руб,Нет в наличии
